t,etape,en_mouvement,attach_x,attach_y,yaw_ref,tcp_base_x,tcp_base_y,tcp_helper_x,tcp_helper_y
1.2549,init,0,-0.15354,0.24861,1.79204,0.58505,0.08099,-0.21363,0.20949
1.2650,init,0,-0.15354,0.24861,1.79204,0.58503,0.08099,-0.21363,0.20947
1.2753,init,0,-0.15354,0.24861,1.79204,0.58502,0.08101,-0.21365,0.20946
1.2855,init,0,-0.15354,0.24861,1.79204,0.58502,0.08104,-0.21367,0.20945
1.2958,init,0,-0.15354,0.24861,1.79204,0.58502,0.08097,-0.21361,0.20947
1.3060,init,0,-0.14537,0.23765,1.78349,0.58502,0.08098,-0.21362,0.20947
1.3162,init,0,-0.14537,0.23765,1.78349,0.58502,0.08100,-0.21364,0.20946
1.3264,init,0,-0.14537,0.23765,1.78349,0.58502,0.08102,-0.21365,0.20946
1.3367,init,0,-0.14537,0.23765,1.78349,0.58504,0.08100,-0.21364,0.20948
1.3469,init,0,-0.14537,0.23765,1.78349,0.58499,0.08098,-0.21361,0.20944
1.3571,init,0,-0.14537,0.23765,1.78349,0.58503,0.08101,-0.21365,0.20947
1.3673,init,0,-0.15407,0.24775,1.78801,0.58501,0.08099,-0.21362,0.20945
1.3775,init,0,-0.15407,0.24775,1.78801,0.58500,0.08101,-0.21364,0.20944
1.3877,init,0,-0.15407,0.24775,1.78801,0.58501,0.08102,-0.21366,0.20944
1.3979,init,0,-0.15407,0.24775,1.78801,0.58499,0.08101,-0.21364,0.20943
1.4080,init,0,-0.15407,0.24775,1.78801,0.58499,0.08104,-0.21367,0.20942
1.4182,init,0,-0.15407,0.24775,1.78801,0.58506,0.08101,-0.21366,0.20949
1.4285,init,0,-0.15407,0.24775,1.78801,0.58503,0.08102,-0.21366,0.20947
1.4386,init,0,-0.14586,0.23704,1.77985,0.58502,0.08102,-0.21365,0.20946
1.4487,init,0,-0.14586,0.23704,1.77985,0.58503,0.08102,-0.21366,0.20947
1.4588,init,0,-0.14586,0.23704,1.77985,0.58500,0.08102,-0.21365,0.20943
1.4689,init,0,-0.14586,0.23704,1.77985,0.58504,0.08098,-0.21362,0.20948
1.4790,init,0,-0.14586,0.23704,1.77985,0.58501,0.08101,-0.21365,0.20945
1.4891,init,0,-0.14586,0.23704,1.77985,0.58501,0.08100,-0.21363,0.20945
1.4992,init,0,-0.14586,0.23704,1.77985,0.58503,0.08102,-0.21366,0.20947
1.5093,init,0,-0.14285,0.23150,1.77982,0.58498,0.08102,-0.21365,0.20942
1.5194,init,0,-0.14285,0.23150,1.77982,0.58502,0.08100,-0.21364,0.20946
1.5295,init,0,-0.14285,0.23150,1.77982,0.58501,0.08098,-0.21361,0.20946
1.5396,init,0,-0.14285,0.23150,1.77982,0.58501,0.08100,-0.21363,0.20945
1.5499,init,0,-0.14285,0.23150,1.77982,0.58499,0.08099,-0.21362,0.20944
1.5602,init,0,-0.14285,0.23150,1.77982,0.58500,0.08102,-0.21365,0.20943
1.5704,init,0,-0.14285,0.23150,1.77982,0.58500,0.08102,-0.21365,0.20944
1.5807,init,0,-0.14897,0.23732,1.78196,0.58498,0.08103,-0.21365,0.20942
1.5908,init,0,-0.14897,0.23732,1.78196,0.58503,0.08099,-0.21363,0.20947
1.6009,init,0,-0.14897,0.23732,1.78196,0.58504,0.08100,-0.21364,0.20948
1.6110,init,0,-0.14897,0.23732,1.78196,0.58499,0.08102,-0.21365,0.20943
1.6211,init,0,-0.14897,0.23732,1.78196,0.58505,0.08100,-0.21364,0.20949
1.6313,init,0,-0.14897,0.23732,1.78196,0.58502,0.08099,-0.21363,0.20946
1.6415,init,0,-0.15866,0.24931,1.78051,0.58499,0.08102,-0.21365,0.20943
1.6516,init,0,-0.15866,0.24931,1.78051,0.58503,0.08101,-0.21365,0.20947
1.6617,init,0,-0.15866,0.24931,1.78051,0.58502,0.08099,-0.21363,0.20947
1.6719,init,0,-0.15866,0.24931,1.78051,0.58500,0.08103,-0.21366,0.20943
1.6821,init,0,-0.15866,0.24931,1.78051,0.58502,0.08101,-0.21365,0.20946
1.6924,init,0,-0.15866,0.24931,1.78051,0.58501,0.08100,-0.21363,0.20945
1.7027,init,0,-0.15866,0.24931,1.78051,0.58502,0.08102,-0.21365,0.20946
1.7128,init,0,-0.14461,0.23068,1.77482,0.58499,0.08102,-0.21365,0.20943
1.7230,init,0,-0.14461,0.23068,1.77482,0.58500,0.08103,-0.21366,0.20944
1.7331,init,0,-0.14461,0.23068,1.77482,0.58501,0.08100,-0.21363,0.20945
1.7433,init,0,-0.14461,0.23068,1.77482,0.58501,0.08102,-0.21366,0.20945
1.7535,init,0,-0.14461,0.23068,1.77482,0.58504,0.08098,-0.21362,0.20949
1.7639,init,0,-0.14461,0.23068,1.77482,0.58503,0.08100,-0.21364,0.20947
1.7740,init,0,-0.14838,0.23503,1.77518,0.58499,0.08100,-0.21363,0.20943
1.7842,init,0,-0.14838,0.23503,1.77518,0.58504,0.08101,-0.21365,0.20948
1.7945,init,0,-0.14838,0.23503,1.77518,0.58507,0.08101,-0.21365,0.20951
1.8046,init,0,-0.14838,0.23503,1.77518,0.58502,0.08099,-0.21362,0.20946
1.8149,init,0,-0.14838,0.23503,1.77518,0.58499,0.08102,-0.21364,0.20943
1.8252,init,0,-0.14838,0.23503,1.77518,0.58500,0.08102,-0.21365,0.20944
