t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
3.47534,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
3.51177,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
3.54408,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
3.58319,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.60945,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
3.6433,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.67743,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.71147,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.74692,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
3.77744,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
3.80958,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.84712,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.87776,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
3.91189,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
3.94322,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
3.97769,0.56638,174.404,-3.581,-178.461,-0.10697,0.23767,0.56638,8,0.03026669,30.26669
4.01018,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
4.04294,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
4.07834,0.5666,174.475,-3.596,-178.447,-0.10718,0.23776,0.5666,8,0.03004669,30.04669
4.10992,0.5674,173.973,-3.039,-178.571,-0.1066,0.23751,0.5674,8,0.02924669,29.24669
4.14998,0.56715,174.399,-3.384,-178.474,-0.1071,0.23772,0.56715,8,0.02949669,29.49669
4.17892,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
4.20967,0.5662,174.21,-3.572,-178.456,-0.10687,0.23755,0.5662,8,0.03044669,30.44669
4.24799,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
