t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id
5.7476,0.59233,175.043,-1.54,-177.051,-0.10353,0.24427,0.59233,8
5.77948,0.59209,175.495,-1.568,-176.945,-0.10377,0.24464,0.59209,8
5.81166,0.59196,175.121,-1.581,-177.038,-0.10343,0.24454,0.59196,8
5.84703,0.5917,175.044,-1.577,-177.056,-0.10321,0.24443,0.5917,8
5.87938,0.59215,175.033,-1.495,-176.963,-0.10363,0.24451,0.59215,8
5.91468,0.59226,175.213,-1.636,-176.882,-0.10396,0.24455,0.59226,8
5.94594,0.59229,174.9,-1.553,-176.92,-0.1037,0.24445,0.59229,8
5.97801,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
6.01406,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
6.04684,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
6.08089,0.59156,175.143,-1.711,-176.994,-0.10332,0.24437,0.59156,8
6.11372,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
6.14584,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
6.18222,0.59144,175.539,-1.957,-176.952,-0.10373,0.24466,0.59144,8
6.21488,0.59161,175.191,-1.568,-176.962,-0.10345,0.24439,0.59161,8
6.24934,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
6.28086,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
6.31445,0.59164,175.454,-1.868,-176.877,-0.10393,0.24463,0.59164,8
6.34793,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
6.38377,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
6.41469,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
6.44823,0.59095,175.384,-1.945,-176.932,-0.10371,0.24434,0.59095,8
6.48465,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
6.51374,0.5917,175.044,-1.577,-177.056,-0.10321,0.24443,0.5917,8
6.54731,0.59175,175.056,-1.625,-176.919,-0.10352,0.24434,0.59175,8
6.5848,0.59171,174.996,-1.79,-176.894,-0.10379,0.2445,0.59171,8
6.6145,0.59126,175.005,-1.87,-176.988,-0.10337,0.24443,0.59126,8
6.64871,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
6.68468,0.59112,175.138,-1.815,-177.031,-0.1033,0.24448,0.59112,8
6.7139,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
6.74739,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
6.78188,0.59095,175.384,-1.945,-176.932,-0.10371,0.24434,0.59095,8
6.81542,0.5917,175.044,-1.577,-177.056,-0.10321,0.24443,0.5917,8
6.84744,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
6.88364,0.59171,174.996,-1.79,-176.894,-0.10379,0.2445,0.59171,8
6.91386,0.59157,175.129,-1.734,-176.938,-0.10373,0.24456,0.59157,8
6.95091,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
6.98397,0.59167,175.356,-1.66,-177.019,-0.10347,0.24452,0.59167,8
7.01727,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
7.05116,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
7.08177,0.59229,174.9,-1.553,-176.92,-0.1037,0.24445,0.59229,8
7.11557,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
7.15382,0.59156,175.143,-1.711,-176.994,-0.10332,0.24437,0.59156,8
7.18185,0.59232,175.212,-1.634,-176.995,-0.1036,0.24463,0.59232,8
7.21469,0.59175,175.056,-1.625,-176.919,-0.10352,0.24434,0.59175,8
7.25001,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
7.28434,0.59161,175.191,-1.568,-176.962,-0.10345,0.24439,0.59161,8
7.31394,0.5921,174.988,-1.639,-176.995,-0.1035,0.24448,0.5921,8
7.35137,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
7.38243,0.59171,174.996,-1.79,-176.894,-0.10379,0.2445,0.59171,8
7.41858,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
7.45021,0.59215,175.033,-1.495,-176.963,-0.10363,0.24451,0.59215,8
7.48672,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
7.51791,0.59183,175.055,-1.625,-176.976,-0.10357,0.24431,0.59183,8
7.55174,0.59229,174.9,-1.553,-176.92,-0.1037,0.24445,0.59229,8
7.58336,0.59189,174.955,-1.491,-176.982,-0.10341,0.2444,0.59189,8
7.61778,0.5917,175.044,-1.577,-177.056,-0.10321,0.24443,0.5917,8
7.64997,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
7.6821,0.59171,174.996,-1.79,-176.894,-0.10379,0.2445,0.59171,8
7.71785,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
7.7529,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
7.78274,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
7.82041,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
7.84984,0.59229,174.9,-1.553,-176.92,-0.1037,0.24445,0.59229,8
7.88175,0.59138,175.216,-1.822,-177.013,-0.10352,0.24458,0.59138,8
7.91787,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
7.95064,0.59229,174.9,-1.553,-176.92,-0.1037,0.24445,0.59229,8
7.98584,0.59159,175.44,-1.82,-177.014,-0.10362,0.24472,0.59159,8
8.01806,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
8.05129,0.59128,175.363,-1.815,-176.919,-0.10376,0.24454,0.59128,8
8.08782,0.59156,175.143,-1.711,-176.994,-0.10332,0.24437,0.59156,8
8.11864,0.59095,175.384,-1.945,-176.932,-0.10371,0.24434,0.59095,8
8.15196,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
8.1861,0.59196,175.121,-1.581,-177.038,-0.10343,0.24454,0.59196,8
8.22121,0.59129,175.674,-1.902,-176.996,-0.10366,0.2447,0.59129,8
8.2499,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
8.28733,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
8.31858,0.59167,175.356,-1.66,-177.019,-0.10347,0.24452,0.59167,8
8.34995,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
8.38674,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
8.41968,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
8.45479,0.59125,175.151,-1.864,-176.951,-0.10367,0.24436,0.59125,8
8.48724,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
8.51791,0.59128,175.363,-1.815,-176.919,-0.10376,0.24454,0.59128,8
8.55587,0.59168,175.189,-1.569,-177.019,-0.10351,0.24436,0.59168,8
8.58838,0.59157,175.129,-1.734,-176.938,-0.10373,0.24456,0.59157,8
8.61793,0.59167,175.356,-1.66,-177.019,-0.10347,0.24452,0.59167,8
8.65565,0.59189,174.955,-1.491,-176.982,-0.10341,0.2444,0.59189,8
8.68986,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
8.71784,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
8.7553,0.59201,175.134,-1.63,-176.901,-0.10374,0.24444,0.59201,8
8.78726,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
8.81785,0.59184,174.91,-1.634,-177.013,-0.10328,0.24438,0.59184,8
8.85523,0.59156,175.143,-1.711,-176.994,-0.10332,0.24437,0.59156,8
8.88754,0.59128,175.363,-1.815,-176.919,-0.10376,0.24454,0.59128,8
8.91917,0.59105,175.238,-1.952,-177.026,-0.10346,0.24438,0.59105,8
8.95526,0.59152,175.083,-1.877,-176.969,-0.10359,0.24453,0.59152,8
8.98593,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
9.02466,0.59167,175.356,-1.66,-177.019,-0.10347,0.24452,0.59167,8
9.05673,0.5921,174.988,-1.639,-176.995,-0.1035,0.24448,0.5921,8
9.08578,0.59171,174.996,-1.79,-176.894,-0.10379,0.2445,0.59171,8
9.12336,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
9.15373,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
9.18738,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
9.22707,0.59196,175.121,-1.581,-177.038,-0.10343,0.24454,0.59196,8
9.25457,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
9.28642,0.59156,175.143,-1.711,-176.994,-0.10332,0.24437,0.59156,8
9.32463,0.59175,175.056,-1.625,-176.919,-0.10352,0.24434,0.59175,8
9.35553,0.59138,175.216,-1.822,-177.013,-0.10352,0.24458,0.59138,8
9.3864,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
9.42299,0.59142,175.278,-1.654,-177.037,-0.10325,0.24442,0.59142,8
9.45443,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
9.49214,0.5906,175.604,-1.98,-177.051,-0.10343,0.24441,0.5906,8
9.5224,0.59156,175.143,-1.711,-176.994,-0.10332,0.24437,0.59156,8
9.55536,0.5921,174.988,-1.639,-176.995,-0.1035,0.24448,0.5921,8
9.59054,0.59171,174.996,-1.79,-176.894,-0.10379,0.2445,0.59171,8
9.62183,0.59143,175.229,-1.87,-176.876,-0.10383,0.24449,0.59143,8
9.65456,0.5921,174.988,-1.639,-176.995,-0.1035,0.24448,0.5921,8
9.69282,0.59108,175.449,-1.903,-176.994,-0.10356,0.24457,0.59108,8
9.72346,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
9.75519,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
9.79183,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
9.82314,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
9.85493,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
9.89294,0.59123,175.315,-1.958,-176.951,-0.10363,0.24452,0.59123,8
9.92319,0.59181,175.222,-1.717,-176.976,-0.10354,0.24447,0.59181,8
9.95479,0.59167,175.356,-1.66,-177.019,-0.10347,0.24452,0.59167,8
9.99082,0.59187,175.269,-1.573,-176.944,-0.10367,0.2445,0.59187,8
10.02323,0.59142,175.278,-1.654,-177.037,-0.10325,0.24442,0.59142,8
