t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
4.84041,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
4.87225,0.59593,175.047,-2.375,-177.897,-0.10183,0.25069,0.59593,8,0.00071669,0.71669
4.90522,0.59629,175.085,-2.093,-177.853,-0.10172,0.25093,0.59629,8,0.00035669,0.35669
4.94065,0.59755,174.612,-1.698,-177.842,-0.10171,0.25072,0.59755,8,-0.00090331,-0.90331
4.97423,0.59546,175.2,-2.447,-177.954,-0.10171,0.25054,0.59546,8,0.00118669,1.18669
5.00560,0.59644,174.951,-2.147,-177.81,-0.10179,0.25087,0.59644,8,0.00020669,0.20669
5.04217,0.59593,175.047,-2.375,-177.897,-0.10183,0.25069,0.59593,8,0.00071669,0.71669
5.07421,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
5.10512,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
5.13840,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
5.17227,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.20648,0.59593,175.047,-2.375,-177.897,-0.10183,0.25069,0.59593,8,0.00071669,0.71669
5.24207,0.59727,174.933,-1.92,-177.817,-0.10191,0.25093,0.59727,8,-0.00062331,-0.62331
5.27232,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
5.30592,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.34197,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
5.37323,0.59643,175.349,-2.381,-177.882,-0.10216,0.25095,0.59643,8,0.00021669,0.21669
5.40424,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
5.44778,0.59578,175.18,-2.323,-177.941,-0.10177,0.25074,0.59578,8,0.00086669,0.86669
5.47292,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.50522,0.59616,175.268,-2.374,-177.899,-0.10194,0.25084,0.59616,8,0.00048669,0.48669
5.54061,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.57405,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
5.60398,0.59658,175.305,-2.088,-177.967,-0.10177,0.25084,0.59658,8,0.00006669,0.06669
5.64487,0.59674,174.892,-2.157,-177.773,-0.10213,0.25095,0.59674,8,-0.00009331,-0.09331
5.67208,0.59659,174.766,-1.869,-177.878,-0.10152,0.25072,0.59659,8,0.00005669,0.05669
5.70851,0.59648,174.949,-2.145,-177.922,-0.10173,0.25064,0.59648,8,0.00016669,0.16669
5.74031,0.5973,174.792,-1.927,-177.798,-0.10203,0.25089,0.5973,8,-0.00065331,-0.65331
5.77316,0.59674,174.892,-2.157,-177.773,-0.10213,0.25095,0.59674,8,-0.00009331,-0.09331
5.81165,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
5.84048,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
5.87424,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.90969,0.59727,174.933,-1.92,-177.817,-0.10191,0.25093,0.59727,8,-0.00062331,-0.62331
5.94141,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
5.97416,0.59593,175.047,-2.375,-177.897,-0.10183,0.25069,0.59593,8,0.00071669,0.71669
6.00906,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
6.04388,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.07260,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.10992,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
6.14035,0.59587,175.236,-2.162,-178.022,-0.10154,0.25054,0.59587,8,0.00077669,0.77669
6.17390,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.20839,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.24078,0.5971,174.885,-2.012,-177.874,-0.10183,0.25092,0.5971,8,-0.00045331,-0.45331
6.27802,0.59546,175.2,-2.447,-177.954,-0.10171,0.25054,0.59546,8,0.00118669,1.18669
6.30863,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.34001,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.37681,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.40981,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.44116,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.47835,0.59546,175.2,-2.447,-177.954,-0.10171,0.25054,0.59546,8,0.00118669,1.18669
6.50826,0.59634,175.082,-2.092,-177.966,-0.10167,0.25069,0.59634,8,0.00030669,0.30669
6.54016,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.57747,0.59593,175.047,-2.375,-177.897,-0.10183,0.25069,0.59593,8,0.00071669,0.71669
6.60920,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
6.63992,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
6.67690,0.59648,174.949,-2.145,-177.922,-0.10173,0.25064,0.59648,8,0.00016669,0.16669
6.71042,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.74458,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.77751,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
6.80943,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.85043,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
6.87598,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
6.90810,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.94653,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
6.97649,0.59671,175.032,-2.15,-177.792,-0.10201,0.25099,0.59671,8,-0.00006331,-0.06331
7.00914,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
7.04695,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
7.07674,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
7.10966,0.59648,174.949,-2.145,-177.922,-0.10173,0.25064,0.59648,8,0.00016669,0.16669
7.14860,0.59673,174.633,-1.925,-177.834,-0.10158,0.25066,0.59673,8,-0.00008331,-0.08331
7.17749,0.59659,174.766,-1.869,-177.878,-0.10152,0.25072,0.59659,8,0.00005669,0.05669
7.20834,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
7.24599,0.59546,175.2,-2.447,-177.954,-0.10171,0.25054,0.59546,8,0.00118669,1.18669
7.28069,0.59673,174.633,-1.925,-177.834,-0.10158,0.25066,0.59673,8,-0.00008331,-0.08331
7.31293,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
7.34423,0.59657,175.165,-2.097,-177.835,-0.10195,0.25104,0.59657,8,0.00007669,0.07669
7.37684,0.59633,174.945,-2.1,-177.834,-0.10184,0.25089,0.59633,8,0.00031669,0.31669
7.41516,0.59704,174.85,-1.917,-177.948,-0.10163,0.25058,0.59704,8,-0.00039331,-0.39331
7.44464,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
7.47946,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
7.51432,0.59727,174.933,-1.92,-177.817,-0.10191,0.25093,0.59727,8,-0.00062331,-0.62331
7.54643,0.59727,174.933,-1.92,-177.817,-0.10191,0.25093,0.59727,8,-0.00062331,-0.62331
7.57847,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
7.61422,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
7.64727,0.59648,174.949,-2.145,-177.922,-0.10173,0.25064,0.59648,8,0.00016669,0.16669
7.67611,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
7.71506,0.59727,174.933,-1.92,-177.817,-0.10191,0.25093,0.59727,8,-0.00062331,-0.62331
7.74415,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
7.77676,0.59646,174.812,-2.154,-177.791,-0.10191,0.25083,0.59646,8,0.00018669,0.18669
7.81377,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
7.84498,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
7.88213,0.59701,174.712,-1.925,-177.816,-0.10181,0.25078,0.59701,8,-0.00036331,-0.36331
7.91406,0.59688,174.846,-1.87,-177.859,-0.10174,0.25083,0.59688,8,-0.00023331,-0.23331
7.94397,0.59593,175.047,-2.375,-177.897,-0.10183,0.25069,0.59593,8,0.00071669,0.71669
7.98189,0.5966,175.025,-2.104,-177.816,-0.10207,0.251,0.5966,8,0.00004669,0.04669
