t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
4.14366,0.59243,177.069,-0.248,-176.895,-0.07834,0.23407,0.59243,8,0.00421669,4.21669
4.17586,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.20826,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
4.24556,0.59258,177.351,-0.235,-176.892,-0.07841,0.23418,0.59258,8,0.00406669,4.06669
4.27512,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.31264,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
4.34345,0.59284,177.045,-0.05,-176.876,-0.0784,0.23427,0.59284,8,0.00380669,3.80669
4.37668,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
4.41299,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.44265,0.59313,177.166,-0.139,-176.836,-0.07854,0.23435,0.59313,8,0.00351669,3.51669
4.47612,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
4.51275,0.5925,177.066,-0.247,-177.009,-0.07798,0.23414,0.5925,8,0.00414669,4.14669
4.54237,0.59221,177.151,-0.336,-176.853,-0.07851,0.23432,0.59221,8,0.00443669,4.43669
4.57496,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
4.61262,0.59165,177.334,-0.433,-176.91,-0.07838,0.23416,0.59165,8,0.00499669,4.99669
4.64417,0.59203,177.155,-0.151,-176.955,-0.07807,0.23402,0.59203,8,0.00461669,4.61669
4.67557,0.59073,177.563,-0.715,-177.045,-0.07811,0.2339,0.59073,8,0.00591669,5.91669
4.71313,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
4.74425,0.59218,176.994,-0.255,-176.918,-0.07814,0.23397,0.59218,8,0.00446669,4.46669
4.77584,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
4.81309,0.59243,177.06,-0.262,-176.895,-0.07834,0.23437,0.59243,8,0.00421669,4.21669
